Fecha,ID empleado,ID turno,Nombre,Apellido 1,Apellido 2,Edad,Estado civil,Número de hijos a su cargo,Familiares trabajando en la empresa,Género,Carnet de toro,Sabe hacer picking,Sabe reponer,Altura (en metros),Peso (en Kg),IMC (índice de masa corporal) en número,IMC (índice de masa corporal) en categoría,Padece alguna enfermedad,Padece alguna minusvalía,Acciones de tipo tarea 1,Acciones de tipo tarea 2,Acciones de tipo tarea 3,Acciones de tipo tarea 4,Acciones de tipo tarea 5,Acciones por minuto de tipo tarea 1,Acciones por minuto de tipo tarea 2,Acciones por minuto de tipo tarea 3,Acciones por minuto de tipo tarea 4,Acciones por minuto de tipo tarea 5
20220103,B012,B,Anastasia,Hervás,Palomares,51,soltero,1,0,M,1,0,1,1.65,86.35,31.72,obesidad,1,0,95,88,19,36,71,5.96,7.1,0.7,5.71,4.38
20220103,B013,B,Clotilde,Barros,Sola,34,soltero,4,0,F,0,1,1,1.54,78.64,33.16,obesidad,0,0,10,62,71,86,97,6.49,2.47,6.07,7.77,0.35
20220103,B014,B,Ámbar,Jerez,Grau,54,casado,3,1,F,0,1,1,1.48,66.33,30.28,obesidad,1,1,73,71,10,50,74,9.96,5.22,1.92,3.07,6.26
20220103,B015,B,Borja,Gordillo,Clavero,46,casado,5,1,F,1,0,1,1.43,54.95,26.87,sobrepeso,1,1,74,26,12,42,86,4.46,0.0,6.78,1.26,1.07
20220103,B016,B,Ariel,Batlle,Roura,53,divorciado,1,0,F,1,1,1,1.51,56.28,24.68,peso normal,1,1,47,78,2,13,43,6.91,3.3,2.0,5.6,4.36
20220103,B017,B,Vicenta,Puente,Andres,48,viudo,4,0,M,1,0,1,1.63,65.43,24.63,peso normal,0,0,81,14,44,9,22,4.23,1.92,6.84,2.27,6.79
20220103,B018,B,Telmo,Mata,Pizarro,61,soltero,3,1,F,1,1,0,1.62,42.42,16.16,delgadez,0,0,45,60,78,87,72,6.93,3.8,5.03,6.52,5.81
20220103,B019,B,Eugenio,Prada,Castelló,22,casado,0,1,F,0,0,1,1.48,80.74,36.86,obesidad,0,0,14,36,44,33,25,0.34,8.02,8.59,7.43,7.3
20220103,B020,B,Juan Manuel,Uribe,Palacio,51,soltero,3,1,M,0,1,0,1.64,64.52,23.99,peso normal,1,0,43,3,43,8,5,6.41,3.79,0.79,2.16,0.46
20220104,A001,A,María José,Esparza,Cordero,52,casado,4,0,F,1,0,1,1.51,87.74,38.48,obesidad,1,1,19,87,46,60,62,8.46,0.16,1.23,7.02,6.77
20220104,A002,A,Jose Angel,Rubio,Donoso,64,soltero,3,1,F,1,1,1,1.36,74.54,40.3,obesidad,1,1,50,13,27,39,82,9.38,7.16,5.01,2.79,2.45
20220104,A003,A,Ruperto,Dávila,Campos,47,soltero,5,0,M,1,0,0,1.88,67.56,19.11,peso normal,0,1,10,85,59,79,27,4.45,3.07,6.71,1.84,6.67
20220104,A004,A,Yaiza,Valcárcel,Ureña,63,viudo,3,1,F,1,1,1,1.47,52.26,24.18,peso normal,1,0,83,8,92,67,32,7.4,6.64,6.47,8.13,1.37
20220104,A005,A,Jose Luis,Múgica,Salamanca,33,soltero,2,0,F,1,0,1,1.43,84.05,41.1,obesidad,1,0,29,85,15,73,94,1.95,5.46,9.14,8.51,7.47
20220104,A006,A,Gloria,Tapia,Rey,56,casado,2,0,F,1,0,1,1.43,47.95,23.45,peso normal,1,1,91,18,55,53,29,0.28,4.18,7.16,6.33,0.65
20220104,A007,A,Ángela,Delgado,Cobos,28,soltero,2,0,M,1,1,1,1.73,72.32,24.16,peso normal,1,1,12,90,50,35,53,3.42,4.42,3.73,9.41,3.36
20220104,A008,A,Narciso,Salcedo,Alcolea,57,divorciado,5,1,F,1,0,1,1.59,41.73,16.51,delgadez,0,0,52,73,7,99,5,5.58,8.97,7.96,8.51,7.77
20220104,A009,A,Samuel,Frutos,Cifuentes,21,casado,4,1,F,0,0,0,1.65,75.53,27.74,sobrepeso,0,1,55,37,28,95,86,8.63,0.94,2.3,8.71,5.05
20220104,A010,A,Tamara,Rueda,Bárcena,19,soltero,1,0,F,1,0,0,1.47,59.73,27.64,sobrepeso,1,1,30,72,24,49,95,5.28,5.79,2.17,2.14,8.66
20220104,A011,A,Pascual,Barreda,Gonzalo,47,casado,3,1,F,1,1,0,1.29,63.81,38.35,obesidad,1,1,34,41,62,66,98,1.96,5.04,4.55,7.34,9.06
20220104,A012,A,Juan Francisco,Ramos,Mir,31,divorciado,1,1,M,0,1,1,1.67,75.46,27.06,sobrepeso,0,1,41,28,42,48,36,2.63,0.88,6.33,2.21,1.09
20220104,A013,A,Corona,Cases,Jordá,57,divorciado,3,0,F,0,1,1,1.22,88.21,59.26,obesidad,1,1,85,13,26,93,76,1.66,4.19,8.31,4.05,7.87
20220104,A014,A,Flor,Benavent,Baños,43,soltero,2,0,M,0,1,1,1.77,85.94,27.43,sobrepeso,0,1,100,36,69,42,94,2.58,8.29,1.55,0.21,1.27
20220104,A015,A,Baudelio,Menendez,Pol,50,casado,2,0,F,1,0,1,1.39,83.38,43.16,obesidad,0,0,92,13,99,10,33,4.58,5.99,3.51,7.06,4.83
20220104,A016,A,Xiomara,Navas,Andrade,40,divorciado,4,0,M,1,1,0,1.67,100.14,35.91,obesidad,1,1,90,8,40,18,82,6.45,1.01,2.26,6.12,1.1
20220104,A017,A,Eduardo,Gomez,Bravo,22,divorciado,3,1,M,1,0,0,1.87,63.28,18.1,delgadez,1,0,37,67,7,72,63,8.13,1.74,9.72,8.79,2.95
20220104,A018,A,Tiburcio,Menendez,Cabrero,35,casado,2,0,F,1,1,1,1.5,87.8,39.02,obesidad,0,0,21,40,97,3,35,3.29,1.42,8.61,2.51,6.31
20220104,A019,A,Ciriaco,Cánovas,Salvador,38,divorciado,2,1,F,1,0,1,1.47,57.4,26.56,sobrepeso,0,1,18,86,100,36,54,6.52,1.72,4.41,5.95,3.57
20220104,A020,A,Rosalina,Mena,Morera,39,casado,2,1,M,0,0,1,1.69,71.36,24.99,obesidad,0,0,94,52,7,20,96,8.75,6.28,2.54,0.64,2.56
20220104,B001,B,Julián,Zapata,Carbajo,62,viudo,1,0,M,0,0,0,1.62,84.97,32.38,obesidad,0,0,71,50,69,55,6,8.89,2.06,7.79,7.63,3.85
20220104,B002,B,Perlita,Torrens,Prats,41,divorciado,0,1,F,1,0,0,1.48,62.96,28.74,sobrepeso,0,0,31,91,71,1,55,7.81,2.37,0.02,8.99,7.39
20220104,B003,B,Jimena,Mulet,Gordillo,51,viudo,4,0,F,0,0,0,1.25,83.65,53.54,obesidad,0,1,74,16,59,60,47,7.6,2.91,5.69,6.97,7.13
20220104,B004,B,Teobaldo,Gelabert,Collado,61,viudo,1,1,F,1,0,1,1.52,82.85,35.86,obesidad,1,0,49,29,17,37,68,9.47,7.64,8.65,3.33,5.68
20220104,B005,B,Manuel,Antón,Porcel,43,viudo,0,0,M,1,0,0,1.9,66.03,18.29,delgadez,0,0,59,49,25,81,65,8.44,5.42,9.06,4.12,3.98
20220104,B006,B,Yésica,Cadenas,Bauzà,44,viudo,2,1,M,1,0,1,1.61,95.84,36.97,obesidad,0,1,67,28,51,12,93,2.61,7.13,9.29,9.06,0.02
20220104,B007,B,Manuela,Medina,Lledó,29,soltero,3,1,M,0,0,0,1.62,102.61,39.1,obesidad,1,0,55,37,87,28,0,4.62,2.09,6.89,1.69,6.17
20220104,B008,B,Sonia,Valenciano,Bermudez,32,divorciado,3,1,F,1,0,0,1.3,78.72,46.58,obesidad,0,0,59,49,79,3,6,6.74,5.07,7.83,6.21,9.27
20220104,B009,B,Lina,Correa,Campillo,30,divorciado,3,1,F,1,1,0,1.49,52.13,23.48,peso normal,0,1,24,18,94,5,74,5.5,0.2,1.06,1.42,7.61
20220104,B010,B,Julián,Alfonso,Heredia,56,viudo,3,1,M,1,0,1,1.74,63.17,20.86,peso normal,0,0,42,63,38,43,35,1.8,1.18,1.61,5.1,7.62
20220104,B011,B,Sandalio,Peral,Agustí,40,viudo,5,1,F,1,0,0,1.58,70.1,28.08,sobrepeso,1,0,93,51,55,39,20,4.96,4.06,5.57,3.61,0.72
20220104,B012,B,Leticia,Reguera,Vallés,62,divorciado,5,0,M,1,0,0,1.87,106.38,30.42,obesidad,0,1,67,13,11,98,86,7.91,7.11,8.58,7.04,6.99
20220104,B013,B,Alejandra,Tirado,Llano,59,viudo,2,1,F,0,1,0,1.39,50.39,26.08,sobrepeso,1,0,84,21,29,70,90,3.72,4.14,7.49,9.87,4.02
20220104,B014,B,Bernardita,Coll,Cáceres,49,viudo,5,0,M,0,0,1,1.7,100.19,34.67,obesidad,1,1,8,4,94,53,99,6.04,8.16,4.71,5.88,0.2
20220104,B015,B,Bárbara,Mascaró,Peláez,61,casado,1,1,M,0,1,0,1.69,81.09,28.39,sobrepeso,0,1,79,23,78,24,99,8.01,8.03,4.72,9.29,4.61
20220104,B016,B,Violeta,Soriano,Arcos,52,viudo,5,0,F,1,1,1,1.66,80.01,29.04,sobrepeso,0,0,16,90,50,93,74,0.31,8.44,6.24,0.08,8.49
20220104,B017,B,Nicodemo,Lledó,Gil,45,soltero,5,1,F,1,0,1,1.67,72.52,26.0,sobrepeso,0,1,15,73,25,49,88,5.59,4.6,7.54,9.85,3.66
20220104,B018,B,Encarnacion,Lobato,Quero,27,viudo,5,1,F,1,1,1,1.66,51.53,18.7,peso normal,1,0,42,28,26,12,31,7.67,8.48,3.51,8.02,9.49
20220104,B019,B,Estela,Ochoa,Neira,21,soltero,0,0,M,0,1,1,1.89,82.46,23.08,peso normal,1,0,24,24,88,60,48,9.87,7.16,1.89,9.94,0.92
20220104,B020,B,Flavio,Ordóñez,Rico,44,soltero,4,1,M,0,1,0,1.78,78.46,24.76,peso normal,0,0,87,61,73,100,6,8.71,8.75,5.0,7.94,6.44
20220105,A001,A,Sebastian,Castilla,Muro,53,casado,1,1,M,0,0,1,1.9,107.71,29.84,sobrepeso,1,0,93,26,20,23,95,7.96,3.35,9.19,3.53,1.83
20220105,A002,A,Guiomar,Bonilla,Peñas,60,divorciado,3,0,F,1,1,0,1.62,69.74,26.57,sobrepeso,1,1,90,100,52,14,97,9.34,6.31,6.27,8.36,8.41
20220105,A003,A,Loreto,Barrio,Tur,50,casado,5,0,M,1,1,1,1.68,63.54,22.51,peso normal,0,1,4,67,87,37,73,9.9,6.27,6.9,0.43,6.07
20220105,A004,A,Salvador,Morante,Blanca,56,divorciado,1,1,M,0,1,1,1.86,101.56,29.36,sobrepeso,1,1,14,93,83,74,72,0.2,0.1,1.14,6.89,5.62
20220105,A005,A,Duilio,Saura,España,29,viudo,3,1,M,1,1,1,1.61,68.28,26.34,sobrepeso,1,0,9,29,93,73,83,2.63,2.95,2.2,7.96,8.58
20220105,A006,A,Jose Angel,Uribe,Pi,63,casado,4,1,M,0,1,1,1.79,74.23,23.17,peso normal,1,1,59,56,71,22,45,9.48,6.52,2.76,7.09,8.16
20220105,A007,A,Román,Cerro,Mora,59,casado,2,1,M,0,1,0,1.84,85.02,25.11,sobrepeso,1,1,18,51,100,16,74,9.83,9.31,2.18,0.11,7.04
20220105,A008,A,Maxi,Espinosa,Carnero,29,soltero,2,0,F,0,1,1,1.51,42.92,18.82,peso normal,1,0,52,81,29,56,27,2.97,8.14,8.82,9.56,1.16
20220105,A009,A,José Mari,Suarez,Carranza,38,divorciado,1,1,F,0,1,1,1.33,80.16,45.32,obesidad,1,0,49,60,35,75,84,4.14,1.04,5.5,3.54,9.17
20220105,A010,A,Manu,Echevarría,Pol,56,divorciado,3,1,F,0,0,1,1.66,51.96,18.86,peso normal,0,1,78,43,64,85,80,7.77,7.16,6.45,0.79,6.78
20220105,A011,A,Clara,Noguera,Vicens,42,divorciado,0,1,F,0,0,0,1.66,77.62,28.17,sobrepeso,1,1,5,70,2,29,32,2.2,6.13,2.12,7.04,0.87
20220105,A012,A,Francisca,Adán,Machado,42,divorciado,5,0,F,0,1,1,1.34,88.54,49.31,obesidad,0,1,50,42,29,70,1,4.48,1.86,9.17,3.7,6.05
20220105,A013,A,Coral,Mármol,Perera,43,casado,4,1,F,1,1,0,1.4,60.9,31.07,obesidad,1,1,86,100,75,30,34,4.83,4.68,2.65,8.92,9.69
20220105,A014,A,Glauco,Piña,Pinedo,35,soltero,4,1,F,1,0,0,1.23,60.93,40.27,obesidad,0,1,55,62,55,4,72,5.55,1.54,7.13,7.94,5.48
20220105,A015,A,Jennifer,Lago,Olmo,49,viudo,2,1,M,0,0,0,1.68,69.25,24.54,peso normal,0,1,50,20,31,85,33,1.05,4.89,3.64,4.2,8.74
20220105,A016,A,Clarisa,Revilla,Pinilla,28,soltero,3,0,F,0,1,1,1.24,69.91,45.47,obesidad,1,1,61,55,96,75,20,3.07,1.93,6.54,0.11,0.61
20220105,A017,A,Emiliano,Tomás,Cabeza,52,viudo,3,0,M,1,1,1,1.69,73.32,25.67,sobrepeso,0,1,45,27,97,40,60,0.37,8.18,8.06,9.67,4.29
20220105,A018,A,Luna,Valenzuela,Trujillo,40,divorciado,1,0,F,1,0,1,1.55,61.16,25.46,sobrepeso,1,1,54,42,90,52,36,9.16,4.08,9.72,2.66,2.08
20220105,A019,A,Inés,Garmendia,Campos,51,viudo,3,0,M,1,1,1,1.75,83.54,27.28,sobrepeso,0,1,96,76,81,58,40,1.57,6.12,0.97,3.6,4.77
20220105,A020,A,Cleto,Tur,Bueno,21,casado,5,0,M,0,0,0,1.88,85.37,24.15,peso normal,1,1,63,92,58,21,8,9.65,9.58,4.04,3.44,3.53
20220105,B001,B,Florencio,Rocamora,Company,52,casado,5,1,F,0,1,0,1.64,51.07,18.99,peso normal,0,0,15,24,16,34,77,7.01,7.13,7.42,6.23,8.64
20220105,B002,B,Olivia,Nicolás,Lumbreras,22,soltero,1,1,M,1,0,0,1.65,76.13,27.96,sobrepeso,1,1,90,60,39,97,88,2.36,8.08,9.9,6.57,4.39
20220105,B003,B,Adriana,Santana,Jáuregui,30,viudo,2,0,F,1,1,0,1.65,81.95,30.1,obesidad,0,0,60,45,5,68,95,7.77,3.58,5.29,2.82,8.36
20220105,B004,B,Soledad,Rocamora,Vicente,29,divorciado,3,1,F,0,0,0,1.26,52.9,33.32,obesidad,0,1,85,75,38,45,85,9.47,6.29,3.65,2.13,2.66
20220105,B005,B,Azucena,Mariscal,Baeza,23,viudo,0,1,F,0,1,1,1.64,42.65,15.86,delgadez,1,0,83,57,29,4,21,7.36,5.91,7.35,0.36,3.82
20220105,B006,B,Petrona,Cano,Montesinos,26,viudo,0,0,F,0,1,0,1.33,68.31,38.62,obesidad,1,1,21,67,74,10,29,1.18,6.1,1.7,2.64,4.14
20220105,B007,B,Félix,Escolano,Arjona,43,soltero,2,1,F,0,1,0,1.66,47.03,17.07,delgadez,0,1,12,74,6,23,98,8.32,9.17,3.85,6.21,3.29
20220105,B008,B,Lucila,Pineda,Nevado,36,viudo,4,0,F,0,0,1,1.45,52.47,24.96,obesidad,1,1,57,37,93,12,77,7.16,2.13,0.75,8.83,8.13
20220105,B009,B,Salvador,Bayo,Ferreras,26,casado,5,0,F,1,0,0,1.44,87.84,42.36,obesidad,0,0,50,91,45,97,97,2.88,6.99,7.42,3.38,7.02
20220105,B010,B,Fabián,Seguí,Cepeda,24,viudo,4,1,M,1,1,0,1.88,102.15,28.9,sobrepeso,0,1,17,57,31,40,14,1.79,2.33,7.76,0.51,6.84
20220105,B011,B,Lina,Pedrosa,Tolosa,36,divorciado,3,1,F,1,1,0,1.34,52.37,29.17,sobrepeso,0,1,39,75,90,17,46,7.74,6.92,4.12,2.01,8.46
20220105,B012,B,Lucio,Tejada,Trujillo,31,casado,2,1,M,1,0,0,1.68,87.02,30.83,obesidad,0,1,94,17,19,89,76,7.07,1.86,6.59,6.89,0.04
20220105,B013,B,Adelardo,Sanz,Soria,27,viudo,2,1,F,1,0,0,1.47,41.8,19.34,peso normal,1,0,28,14,77,55,86,6.39,2.11,0.55,5.01,0.48
20220105,B014,B,José Ángel,Fonseca,Corral,21,casado,1,1,M,0,1,0,1.87,63.18,18.07,delgadez,0,1,42,77,96,91,73,8.73,7.93,7.89,5.12,1.08
20220105,B015,B,Fortunata,Ferrándiz,Goñi,59,viudo,4,1,M,1,0,0,1.65,75.89,27.88,sobrepeso,1,0,61,59,32,28,89,8.55,8.52,6.31,0.27,3.32
20220105,B016,B,Pacífica,Juliá,Gaya,54,viudo,4,1,F,0,1,0,1.23,76.83,50.78,obesidad,1,1,28,44,42,6,79,7.56,5.18,9.05,6.71,8.33
20220105,B017,B,Joan,Mosquera,Garmendia,19,casado,2,1,F,1,1,0,1.41,42.3,21.28,peso normal,1,1,10,24,41,19,5,2.64,3.11,6.41,8.02,5.94
20220105,B018,B,Fabián,Zaragoza,Ropero,25,divorciado,4,0,F,1,1,0,1.64,60.78,22.6,peso normal,0,1,21,72,35,4,12,6.68,3.92,0.55,3.82,3.61
20220105,B019,B,Loreto,Acero,Pardo,47,soltero,1,0,F,0,0,1,1.36,79.37,42.91,obesidad,0,1,13,21,87,69,64,8.97,3.65,6.38,6.15,6.31
20220105,B020,B,Adrián,Ibáñez,Cortina,50,soltero,2,0,M,0,0,0,1.87,86.63,24.77,peso normal,0,1,62,46,36,53,92,5.5,8.6,3.52,3.08,5.68
20220106,A001,A,Zaida,Pazos,Marí,21,soltero,4,0,F,1,0,0,1.63,46.29,17.42,delgadez,0,0,73,85,35,57,95,2.13,1.35,5.8,7.94,1.24
20220106,A002,A,Juana,Esteve,Amador,48,divorciado,1,0,F,0,0,1,1.23,81.82,54.08,obesidad,1,1,77,30,54,56,47,4.89,9.91,9.11,5.75,6.34
20220106,A003,A,Nicodemo,Muñoz,Múñiz,50,divorciado,4,1,F,0,0,1,1.24,59.9,38.96,obesidad,0,1,18,62,85,7,44,7.21,3.67,7.82,6.69,9.82
20220106,A004,A,Genoveva,Fajardo,Enríquez,65,divorciado,2,0,F,0,1,0,1.61,59.54,22.97,peso normal,1,0,100,56,36,62,76,2.3,1.49,4.95,5.26,3.01
20220106,A005,A,Clemente,Samper,Abad,27,casado,0,1,F,0,1,0,1.31,57.89,33.73,obesidad,1,1,31,42,88,66,24,5.66,7.73,1.85,4.09,2.91
20220106,A006,A,Francisca,Laguna,Garay,19,viudo,5,1,M,0,0,0,1.85,103.84,30.34,obesidad,1,0,65,48,15,42,88,8.46,3.11,1.65,0.25,1.48
20220106,A007,A,Gala,Yáñez,Porras,52,soltero,4,0,M,0,1,1,1.77,89.8,28.66,sobrepeso,0,0,69,40,100,19,14,4.72,6.45,5.16,0.73,6.42
20220106,A008,A,Roberto,Benito,Bermudez,56,divorciado,3,0,M,1,0,0,1.66,90.35,32.79,obesidad,0,1,83,76,25,20,41,3.28,3.41,0.88,1.19,5.68
20220106,A009,A,Luís,Suárez,Pulido,60,viudo,4,0,F,1,1,0,1.47,61.74,28.57,sobrepeso,0,1,83,35,89,7,88,3.86,1.32,0.55,5.97,1.43
20220106,A010,A,Cruz,Landa,Galán,49,soltero,2,1,M,0,0,0,1.65,97.52,35.82,obesidad,1,1,92,41,22,21,88,9.16,8.4,0.94,2.36,3.35
20220106,A011,A,Remedios,Alemany,Coello,18,viudo,2,1,M,1,1,0,1.82,106.7,32.21,obesidad,0,1,65,87,42,2,2,5.57,6.46,8.97,6.76,6.61
20220106,A012,A,Andrés,Carrera,Alcalde,50,soltero,5,1,M,0,0,1,1.89,60.73,17.0,delgadez,1,0,27,18,19,44,47,8.07,2.5,5.98,8.77,2.04
20220106,A013,A,Amador,Acuña,Pereira,59,viudo,2,1,F,0,1,0,1.61,59.53,22.97,peso normal,0,0,10,18,25,14,43,3.7,4.7,4.61,0.34,6.8
20220106,A014,A,Ágata,Larrañaga,Salom,55,soltero,3,0,M,1,0,1,1.6,60.48,23.62,peso normal,0,1,65,53,63,25,93,2.48,3.46,6.12,0.0,5.94
20220106,A015,A,Raúl,Salom,Tolosa,25,viudo,5,0,M,0,0,1,1.72,68.84,23.27,peso normal,1,1,49,67,15,40,14,1.08,2.11,4.3,0.44,3.93
20220106,A016,A,Arcelia,Poza,Quintana,24,viudo,1,0,M,0,0,1,1.85,86.73,25.34,sobrepeso,0,0,72,15,23,1,63,7.2,7.22,6.81,0.11,3.48
20220106,A017,A,Cristina,Sáenz,Rozas,55,divorciado,4,0,F,0,0,1,1.33,59.82,33.82,obesidad,1,0,42,51,50,41,28,2.92,5.84,4.84,9.73,7.8
20220106,A018,A,Rodrigo,Galván,Mascaró,54,viudo,1,0,F,0,0,1,1.61,67.68,26.11,sobrepeso,0,1,35,22,46,3,74,0.38,1.95,2.43,7.96,2.06
20220106,A019,A,Víctor,Becerra,Berenguer,28,soltero,2,1,M,0,1,1,1.65,73.0,26.81,sobrepeso,1,1,11,68,47,27,88,3.81,1.13,3.56,1.98,6.18
20220106,A020,A,Aurora,Bonilla,Pereira,26,divorciado,0,1,F,0,0,1,1.61,83.6,32.25,obesidad,0,1,33,63,2,4,60,7.42,7.77,6.3,4.65,8.6
20220106,B001,B,Leonardo,Silva,Rovira,43,casado,3,0,M,0,1,0,1.81,64.28,19.62,peso normal,1,1,79,79,79,17,2,0.34,5.26,1.23,6.69,4.75
20220106,B002,B,Nereida,Batlle,Sola,62,viudo,0,0,M,0,1,1,1.9,61.75,17.11,delgadez,1,1,39,66,18,40,80,3.47,6.32,1.9,2.99,4.49
